,Disease,ID
0,				Abdominal aortic aneurysm,0
1,				Acne,1
2,				Acute cholecystitis,2
3,				Acute lymphoblastic leukaemia,3
4,				Acute lymphoblastic leukaemia: Children,4
5,				Acute lymphoblastic leukaemia: Teenagers and young adults,5
6,				Acute myeloid leukaemia,6
7,				Acute myeloid leukaemia: Children,7
8,				Acute myeloid leukaemia: Teenagers and young adults,8
9,				Acute pancreatitis,9
10,				Addison's disease,10
11,				Alcohol-related liver disease,11
12,				Allergic rhinitis,12
13,				Allergies,13
14,				Alzheimer's disease,14
15,				Anal cancer,15
16,				Anaphylaxis,16
17,				Angioedema,17
18,				Ankylosing spondylitis,18
19,				Anorexia nervosa,19
20,				Anxiety,20
21,				Anxiety disorders in children,21
22,				Appendicitis,22
23,				Arthritis,23
24,				Asbestosis,24
25,				Asthma,25
26,				Atopic eczema,26
27,				Attention deficit hyperactivity disorder (ADHD),27
28,				Autistic spectrum disorder (ASD),28
29,,29
30,				Bacterial vaginosis,30
31,				Benign prostate enlargement,31
32,				Bile duct cancer (cholangiocarcinoma),32
33,				Binge eating,33
34,				Bipolar disorder,34
35,				Bladder cancer,35
36,				Blood poisoning (sepsis),36
37,				Bone cancer,37
38,				Bone cancer: Teenagers and young adults,38
39,				Bowel cancer,39
40,				Bowel incontinence,40
41,				Bowel polyps,41
42,				Brain stem death,42
43,				Brain tumours,43
44,				Brain tumours: Children,44
45,				Brain tumours: Teenagers and young adults,45
46,				Breast cancer (female),46
47,				Breast cancer (male),47
48,				Bronchiectasis,48
49,				Bronchitis,49
50,				Bulimia,50
51,				Bunion,51
52,,52
53,				Carcinoid syndrome and carcinoid tumours,53
54,				Catarrh,54
55,				Cellulitis,55
56,				Cervical cancer,56
57,				Chest infection,57
58,				Chest pain,58
59,				Chickenpox,59
60,				Chilblains,60
61,				Chlamydia,61
62,				Chronic fatigue syndrome,62
63,				Chronic kidney disease,63
64,				Chronic lymphocytic leukaemia,64
65,				Chronic myeloid leukaemia,65
66,				Chronic obstructive pulmonary disease,66
67,				Chronic pain,67
68,				Chronic pancreatitis,68
69,				Cirrhosis,69
70,				Clostridium difficile,70
71,				Coeliac disease,71
72,				Cold sore,72
73,				Coma,73
74,				Common cold,74
75,				Common heart conditions,75
76,				Congenital heart disease,76
77,				Conjunctivitis,77
78,				Constipation,78
79,				Coronavirus (COVID-19),79
80,				Cough,80
81,				Crohn's disease,81
82,				Croup,82
83,				Cystic fibrosis,83
84,				Cystitis,84
85,,85
86,				Deafblindness,86
87,				Deep vein thrombosis,87
88,				Dehydration,88
89,				Dementia,89
