,Disease,ID,Symptoms
0,Abdominal aortic aneurysm,1,"a pulsating feeling in your stomach (abdomen), usually near your belly button, that's usually only noticeable when you touch it"
1,Abdominal aortic aneurysm,1,persistent back pain
2,Abdominal aortic aneurysm,1,persistent abdominal pain
3,Abdominal aortic aneurysm,1,dizziness
4,Abdominal aortic aneurysm,1,sweaty and clammy skin
5,Abdominal aortic aneurysm,1,rapid heartbeat (tachycardia)
6,Abdominal aortic aneurysm,1,shortness of breath
7,Abdominal aortic aneurysm,1,feeling faint
8,Abdominal aortic aneurysm,1,loss of consciousness
9,Acne,2,periods – some women have a flare-up of acne just before their period
10,Acne,2,"pregnancy – many women have symptoms of acne at this time, usually during the first 3 months of their pregnancy"
11,Acne,2,"polycystic ovary syndrome – a common condition that can cause acne, weight gain and the formation of small cysts inside the ovary"
12,Acne,2,"some cosmetic products – however, this is less common as most products are now tested, so they don't cause spots (non-comedogenic)"
13,Acne,2,"certain medications – such as steroid medications, lithium (used to treat depression and bipolar disorder) and some anti-epileptic drugs (used to treat epilepsy)"
14,Acne,2,"regularly wearing items that place pressure on an affected area of skin, such as a headband or backpack"
15,Acne,2,smoking – which can contribute to acne in older people
16,Acute cholecystitis,3,blood tests to check for signs of inflammation in your body
17,Acute cholecystitis,3,an ultrasound scan of your abdomen to check for gallstones or other signs of a problem with your gallbladder
18,Acute cholecystitis,3,fasting (not eating or drinking) to take the strain off your gallbladder
19,Acute cholecystitis,3,receiving fluids through a drip directly into a vein (intravenously) to prevent dehydration
20,Acute cholecystitis,3,taking medication to relieve your pain
21,Acute cholecystitis,3,laparoscopic cholecystectomy – a type of keyhole surgery where the gallbladder is removed using special surgical instruments inserted through a number of small cuts (incisions) in your abdomen
22,Acute cholecystitis,3,"open cholecystectomy – where the gallbladder is removed through a single, larger incision in your abdomen"
23,Acute cholecystitis,3,"the death of the tissue of the gallbladder, called gangrenous cholecystitis, which can cause a serious infection that could spread throughout the body"
24,Acute cholecystitis,3,"the gallbladder splitting open, known as a perforated gallbladder, which can spread the infection within your abdomen (peritonitis) or lead to a build-up of pus (abscess)"
25,Acute lymphoblastic leukaemia,4,"lymphocytes, which are mostly used to fight viral infections"
26,Acute lymphoblastic leukaemia,4,"neutrophils, which perform several functions, such as fighting bacterial infections, defending the body against parasites and preventing the spread of tissue damage"
27,Acute lymphoblastic leukaemia,4,chronic lymphocytic leukaemia
28,Acute lymphoblastic leukaemia,4,chronic myeloid leukaemia
29,Acute lymphoblastic leukaemia,4,acute myeloid leukaemia
30,Acute lymphoblastic leukaemia,4,pale skin
31,Acute lymphoblastic leukaemia,4,tiredness
32,Acute lymphoblastic leukaemia,4,breathlessness
33,Acute lymphoblastic leukaemia,4,having repeated infections over a short space of time
34,Acute lymphoblastic leukaemia,4,unusual and frequent bleeding
35,Acute lymphoblastic leukaemia,4,"red blood cells, which carry oxygen around the body"
36,Acute lymphoblastic leukaemia,4,"white blood cells, which help fight infection"
37,Acute lymphoblastic leukaemia,4,"platelets, which help stop bleeding"
38,Acute lymphoblastic leukaemia,4,exposure to high levels of radiation
39,Acute lymphoblastic leukaemia,4,"exposure to benzene, a chemical used in manufacturing that is also found in cigarettes"
40,Symptom may not be a bullet point,5,null
41,Acute lymphoblastic leukaemia: Teenagers and young adults,6,help fight infection (white cells)
42,Acute lymphoblastic leukaemia: Teenagers and young adults,6,carry oxygen from the lungs around the body (red blood cells)
43,Acute lymphoblastic leukaemia: Teenagers and young adults,6,stop cuts bleeding by clotting blood (platelets)
44,Acute lymphoblastic leukaemia: Teenagers and young adults,6,looking paler than usual and feeling tired – because of too few red blood cells (anaemia)
45,Acute lymphoblastic leukaemia: Teenagers and young adults,6,"bruises – you may bruise more easily and it could take longer for bleeding to stop, if you have less blood clotting cells (platelets) than normal"
46,Acute lymphoblastic leukaemia: Teenagers and young adults,6,infections – because there are too few mature white blood cells to fight infection
47,Acute lymphoblastic leukaemia: Teenagers and young adults,6,aches and pains in your bones
48,Acute lymphoblastic leukaemia: Teenagers and young adults,6,"swollen glands (lymph nodes) in your neck, under your arm or in your groin"
49,Acute lymphoblastic leukaemia: Teenagers and young adults,6,feeling unwell and run down
