,Disease,ID,Links
0,Abdominal aortic aneurysm,1,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/a/abdominal-aortic-aneurysm
1,Acne,2,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/a/acne
2,Acute cholecystitis,3,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/a/acute-cholecystitis
3,Acute lymphoblastic leukaemia,4,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/a/acute-lymphoblastic-leukaemia
4,Acute lymphoblastic leukaemia: Children,5,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/a/acute-lymphoblastic-leukaemia-children
5,Acute lymphoblastic leukaemia: Teenagers and young adults,6,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/a/acute-lymphoblastic-leukaemia-teenagers-and-young-adults
6,Acute myeloid leukaemia,7,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/a/acute-myeloid-leukaemia
7,Acute myeloid leukaemia: Children,8,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/a/acute-myeloid-leukaemia-children
8,Acute myeloid leukaemia: Teenagers and young adults,9,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/a/acute-myeloid-leukaemia-teenagers-and-young-adults
9,Acute pancreatitis,10,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/a/acute-pancreatitis
10,Addison's disease,11,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/a/addisons-disease
11,Alcohol-related liver disease,12,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/a/alcohol-related-liver-disease
12,Allergic rhinitis,13,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/a/allergic-rhinitis
13,Allergies,14,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/a/allergies
14,Alzheimer's disease,15,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/a/alzheimers-disease
15,Anal cancer,16,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/a/anal-cancer
16,Anaphylaxis,17,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/a/anaphylaxis
17,Angioedema,18,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/a/angioedema
18,Ankylosing spondylitis,19,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/a/ankylosing-spondylitis
19,Anorexia nervosa,20,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/a/anorexia-nervosa
20,Anxiety,21,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/a/anxiety
21,Anxiety disorders in children,22,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/a/anxiety-disorders-in-children
22,Appendicitis,23,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/a/appendicitis
23,Arthritis,24,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/a/arthritis
24,Asbestosis,25,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/a/asbestosis
25,Asthma,26,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/a/asthma
26,Atopic eczema,27,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/a/atopic-eczema
27,Attention deficit hyperactivity disorder (ADHD),28,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/a/attention-deficit-hyperactivity-disorder-adhd
28,Autistic spectrum disorder (ASD),29,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/a/autistic-spectrum-disorder-asd
29,Bacterial vaginosis,30,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/b/bacterial-vaginosis
30,Benign prostate enlargement,31,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/b/benign-prostate-enlargement
31,Bile duct cancer (cholangiocarcinoma),32,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/b/bile-duct-cancer-cholangiocarcinoma
32,Binge eating,33,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/b/binge-eating
33,Bipolar disorder,34,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/b/bipolar-disorder
34,Bladder cancer,35,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/b/bladder-cancer
35,Blood poisoning (sepsis),36,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/b/blood-poisoning-sepsis
36,Bone cancer,37,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/b/bone-cancer
37,Bone cancer: Teenagers and young adults,38,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/b/bone-cancer-teenagers-and-young-adults
38,Bowel cancer,39,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/b/bowel-cancer
39,Bowel incontinence,40,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/b/bowel-incontinence
40,Bowel polyps,41,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/b/bowel-polyps
41,Brain stem death,42,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/b/brain-stem-death
42,Brain tumours,43,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/b/brain-tumours
43,Brain tumours: Children,44,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/b/brain-tumours-children
44,Brain tumours: Teenagers and young adults,45,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/b/brain-tumours-teenagers-and-young-adults
45,Breast cancer (female),46,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/b/breast-cancer-female
46,Breast cancer (male),47,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/b/breast-cancer-male
47,Bronchiectasis,48,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/b/bronchiectasis
48,Bronchitis,49,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/b/bronchitis
49,Bulimia,50,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/b/bulimia
50,Bunion,51,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/b/bunion
51,Carcinoid syndrome and carcinoid tumours,52,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/carcinoid-syndrome-and-carcinoid-tumours
52,Catarrh,53,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/catarrh
53,Cellulitis,54,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/cellulitis
54,Cervical cancer,55,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/cervical-cancer
55,Chest infection,56,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/chest-infection
56,Chest pain,57,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/chest-pain
57,Chickenpox,58,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/chickenpox
58,Chilblains,59,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/chilblains
59,Chlamydia,60,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/chlamydia
60,Chronic fatigue syndrome,61,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/chronic-fatigue-syndrome
61,Chronic kidney disease,62,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/chronic-kidney-disease
62,Chronic lymphocytic leukaemia,63,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/chronic-lymphocytic-leukaemia
63,Chronic myeloid leukaemia,64,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/chronic-myeloid-leukaemia
64,Chronic obstructive pulmonary disease,65,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/chronic-obstructive-pulmonary-disease
65,Chronic pain,66,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/chronic-pain
66,Chronic pancreatitis,67,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/chronic-pancreatitis
67,Cirrhosis,68,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/cirrhosis
68,Clostridium difficile,69,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/clostridium-difficile
69,Coeliac disease,70,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/coeliac-disease
70,Cold sore,71,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/cold-sore
71,Coma,72,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/c/coma
